Country,Year_2016,4,Cases,Deaths,Serious,Critical,date2,unixtime
Afghanistan,34656032,77,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Andorra,77281,86,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Argentina,43847430,89,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Armenia,2924816,87,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Australia,24127159,24,61,2,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Austria,8747358,28,47,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Azerbaijan,9762274,55,6,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Belgium,11348159,19,109,0,1,,Fri Mar  6 10:56:12 PST 2020,1583520972
Bahrain,1425171,26,49,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Belarus,9507120,54,6,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Brazil,207652865,48,9,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Bhutan,797765,91,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Canada,36286425,27,48,0,,1,Fri Mar  6 10:56:12 PST 2020,1583520972
Switzerland,8372098,22,80,1,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Chile,17909754,63,5,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Cameroon,23439189,95,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Czech Republic,10561633,51,8,0,0,0,Fri Mar  6 10:56:12 PST 2020,1583520972
Germany,82667685,10,639,0,,2,Fri Mar  6 10:56:12 PST 2020,1583520972
Denmark,5731118,42,15,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Dominican Republic,10648791,88,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Algeria,40606052,36,17,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Ecuador,16385068,43,13,0,,1,Fri Mar  6 10:56:12 PST 2020,1583520972
Egypt,95688681,69,3,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Spain,46443959,13,296,3,7,,Fri Mar  6 10:56:12 PST 2020,1583520972
Estonia,1316481,58,5,0,0,0,Fri Mar  6 10:56:12 PST 2020,1583520972
Finland,5495096,45,12,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
France,66896109,11,613,9,23,,Fri Mar  6 10:56:12 PST 2020,1583520972
United Kingdom,65637239,18,116,1,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Georgia,3719300,49,9,0,1,,Fri Mar  6 10:56:12 PST 2020,1583520972
Gibraltar,34408,92,1,0,1,,Fri Mar  6 10:56:12 PST 2020,1583520972
Greece,10746740,33,31,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Hong Kong,7346700,20,105,2,2,4,Fri Mar  6 10:56:12 PST 2020,1583520972
Croatia,4170600,47,10,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Hungary,9817958,70,2,0,0,0,Fri Mar  6 10:56:12 PST 2020,1583520972
Indonesia,261115456,68,4,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
India,1324171354,34,30,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Ireland,4773095,44,13,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Iran,80277428,7,4747,124,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Iraq,37202572,31,35,2,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Iceland,334252,32,34,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Israel,8547100,37,17,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Italy,60600590,8,4636,197,462,,Fri Mar  6 10:56:12 PST 2020,1583520972
Jordan,9455802,85,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Japan,126994511,12,350,6,29,,Fri Mar  6 10:56:12 PST 2020,1583520972
Cambodia,15762370,75,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
South Korea,51245707,6,6593,42,27,25,Fri Mar  6 10:56:12 PST 2020,1583520972
Kuwait,4052584,25,58,0,0,0,Fri Mar  6 10:56:12 PST 2020,1583520972
Lebanon,6006668,40,16,0,,1,Fri Mar  6 10:56:12 PST 2020,1583520972
Liechtenstein,37666,90,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Sri Lanka,21203000,76,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Lithuania,2872298,80,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Luxembourg,582972,73,2,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Latvia,1960424,83,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Morocco,35276786,71,2,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Monaco,38499,81,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Mexico,127540423,57,5,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Malaysia,31187265,23,83,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Nigeria,185989640,79,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Netherlands,17018408,16,128,1,1,,Fri Mar  6 10:56:12 PST 2020,1583520972
Norway,5232929,21,101,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Nepal,28982771,74,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
New Zealand,4692700,67,4,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Oman,4424762,41,16,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Pakistan,193203476,60,5,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Philippines,103320222,61,5,1,1,,Fri Mar  6 10:56:12 PST 2020,1583520972
Poland,37948016,62,5,0,0,0,Fri Mar  6 10:56:12 PST 2020,1583520972
Portugal,10324611,52,8,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Qatar,2569804,50,8,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Romania,19705301,53,7,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Saudi Arabia,32275687,59,5,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Senegal,15411614,64,4,0,0,0,Fri Mar  6 10:56:12 PST 2020,1583520972
Singapore,5607283,17,117,0,,7,Fri Mar  6 10:56:12 PST 2020,1583520972
San Marino,33203,39,16,1,3,,Fri Mar  6 10:56:12 PST 2020,1583520972
Serbia,7057412,93,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Slovenia,2064845,56,6,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Sweden,9903122,15,136,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Thailand,68863514,29,47,1,1,,Fri Mar  6 10:56:12 PST 2020,1583520972
Tunisia,11403248,84,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
Ukraine,45004645,82,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
United States,323127513,14,254,14,2,6,Fri Mar  6 10:56:12 PST 2020,1583520972
Vietnam,92701100,38,16,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
South Africa,55908865,96,1,0,,,Fri Mar  6 10:56:12 PST 2020,1583520972
