china,MAINLAND CHINA,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
inside,Hubei province(includes Wuhan),67332,2871,6232,,38556,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Guangdong province,1349,7,17,20,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Henan province,1272,22,7,4,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Zhejiang province,1205,1,8,8,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Hunan province,1018,4,18,,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Beijing,413,8,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Shanghai,337,3,9,,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Other regions,7323,65,100+,,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,Undisclosed,21,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
inside,CHINA TOTAL,80270,2981,6416,,49856,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,South Korea,5328,32,34,11,34,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Iran,2336,77,,,291,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Italy,2502,79,140,,160,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Diamond Princess,706,6,36,,10,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Japan,293,6,23,,43,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,France,212,4,8,,12,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Germany,203,0,,2,16,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Spain,151,1,,5,2,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Singapore,110,0,,7,78,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,United States,112,9,2,5,9,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Hong Kong,101,2,2,4,36,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Kuwait,56,0,0,0,0,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Bahrain,49,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Thailand,43,1,1,,30,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Taiwan,41,1,,,12,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,United Kingdom,51,0,,,8,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Switzerland,37,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Australia,33,1,,,21,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Canada,33,0,,,3,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Sweden,30,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Malaysia,36,0,,,22,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Iraq,31,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Norway,33,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,UAE,21,0,2,,5,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Austria,24,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Netherlands,23,0,,1,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Vietnam,16,0,,,16,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Iceland,14,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Lebanon,13,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Israel,12,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Macau,10,0,,,6,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Belgium,13,0,,,1,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Croatia,8,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,San Marino,8,1,1,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Qatar,7,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Finland,7,0,,,1,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Greece,7,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Ecuador,7,0,,1,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Oman,12,0,,,2,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Mexico,5,0,,,1,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Algeria,5,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
outside,Pakistan,5,0,,,,Tue Mar  3 17:56:31 PST 2020,1583286991
