china,location,Cases,Deaths,Notes,date2,unixtime
inside,Hubei province (includes Wuhan),66907,2761,"7,107 serious",Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Guangdong province,1349,7,"18 serious, 20 critical",Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Henan province,1272,22,"7 serious, 6 critical",Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Zhejiang province,1205,1,"10 serious, 9 critical",Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Hunan province,1018,4,19 serious,Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Beijing,411,8,,Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Shanghai,337,3,10 serious,Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Other regions,7322,64,,Sat Feb 29 19:16:46 PST 2020,1583032606
inside,Undisclosed,3,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
inside,TOTAL,79824,2870,"7,365 serious41,825 recovered851 suspected",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,South Korea,3526,17,"10 critical, 24 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Italy,1128,29,"105 serious, 46 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Diamond Princess,705,6,"36 serious, 10 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Iran,593,43,123 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Japan,241*,5,"20 serious, 32 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Singapore,102,0,"7 critical, 72 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Hong Kong,93,2,"4 critical, 2 serious, 18 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Germany,79,0,"2 critical, 16 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,United States,69,1,"1 serious, 7 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,France,100,2,"8 serious, 12 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Spain,58,0,"1 serious, 2 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Kuwait,45,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Thailand,42,0,"2 critical, 28 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Taiwan,39,1,5 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Bahrain,41,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Malaysia,25,0,17 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Australia,25,1,15 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,United Kingdom,23,0,8 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,UAE,19,0,"2 serious, 5 recovered",Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Vietnam,16,0,16 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Canada,20,0,3 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Sweden,13,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Macau,10,0,6 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Iraq,13,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Israel,7,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Oman,6,0,1 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Philippines,3,1,2 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,India,3,0,3 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Finland,3,0,1 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Russia,2,0,2 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Nepal,1,0,1 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Cambodia,1,0,1 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Sri Lanka,1,0,1 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Belgium,1,0,1 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Egypt,1,0,1 recovered,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Lebanon,4,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
outside,Afghanistan,1,0,,Sat Feb 29 19:16:46 PST 2020,1583032606
