COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
LOS ANGELES,9818605,16,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
SANTA CLARA,1781642,43,1,Mon Mar  9 20:25:35 PDT 2020,1583810735
SAN FRANCISCO,805235,11,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
SAN DIEGO,3095313,2,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
MARIN,252409,2,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
SONOMA,483878,2,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
SACRAMENTO,1418788,3,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
SOLANO,413344,12,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
NAPA,136484,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
HUMBOLDT,134623,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
ALAMEDA,1510271,24,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
PLACER,348432,7,1,Mon Mar  9 20:25:35 PDT 2020,1583810735
SAN MATEO,718451,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
CONTRA COSTA,1049025,9,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
KINGS,2504700,4,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
YOLO,200849,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
MADERA,150865,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
SANTA CRUZ,262382,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
FRESNO,930450,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
RIVERSIDE,2189641,4,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
SHASTA,177223,1,0,Mon Mar  9 20:25:35 PDT 2020,1583810735
