COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,5,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
LOS ANGELES,9818605,28,1,Wed Mar 11 23:21:49 PDT 2020,1583994109
SANTA CLARA,1781642,48,1,Wed Mar 11 23:21:49 PDT 2020,1583994109
SAN FRANCISCO,805235,17,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
SAN DIEGO,3095313,2,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
MARIN,252409,4,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
SONOMA,483878,2,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
SACRAMENTO,1418788,9,1,Wed Mar 11 23:21:49 PDT 2020,1583994109
SOLANO,413344,12,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
NAPA,136484,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
HUMBOLDT,134623,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
ALAMEDA,1510271,25,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
PLACER,348432,8,1,Wed Mar 11 23:21:49 PDT 2020,1583994109
SAN MATEO,718451,15,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
CONTRA COSTA,1049025,9,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
YOLO,200849,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
MADERA,150865,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
SANTA CRUZ,262382,2,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
FRESNO,930450,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
RIVERSIDE,2189641,4,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
SHASTA,177223,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
VENTURA,823318,2,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
CHARLES MIX,9129,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
LAKE,703462,1,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
STANISLAUS,514453,2,0,Wed Mar 11 23:21:49 PDT 2020,1583994109
