COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Fri Mar  6 21:06:53 PST 2020,1583557613
LOS ANGELES,9818605,13,0,Fri Mar  6 21:06:53 PST 2020,1583557613
SANTA CLARA,1781642,24,0,Fri Mar  6 21:06:53 PST 2020,1583557613
SAN FRANCISCO,805235,5,0,Fri Mar  6 21:06:53 PST 2020,1583557613
SAN DIEGO,3095313,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
MARIN,252409,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
SONOMA,483878,2,0,Fri Mar  6 21:06:53 PST 2020,1583557613
SACRAMENTO,1418788,3,0,Fri Mar  6 21:06:53 PST 2020,1583557613
SOLANO,413344,12,0,Fri Mar  6 21:06:53 PST 2020,1583557613
NAPA,136484,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
HUMBOLDT,134623,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
ALAMEDA,1510271,2,0,Fri Mar  6 21:06:53 PST 2020,1583557613
MANATEE,322833,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
PLACER,348432,5,1,Fri Mar  6 21:06:53 PST 2020,1583557613
SAN MATEO,718451,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
CONTRA COSTA,1049025,4,0,Fri Mar  6 21:06:53 PST 2020,1583557613
KINGS,2504700,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
YOLO,200849,1,0,Fri Mar  6 21:06:53 PST 2020,1583557613
