COUNTY,POPULATION_2010,CONFIRMED,CONFIRMED_2,date2,unixtime
ORANGE,3010232,6,6,Fri Mar 13 17:37:24 PDT 2020,1584146244
LOS ANGELES,9818605,40,40,Fri Mar 13 17:37:24 PDT 2020,1584146244
SANTA CLARA,1781642,66,66,Fri Mar 13 17:37:24 PDT 2020,1584146244
SAN FRANCISCO,805235,21,21,Fri Mar 13 17:37:24 PDT 2020,1584146244
SAN DIEGO,3095313,5,5,Fri Mar 13 17:37:24 PDT 2020,1584146244
MARIN,252409,4,4,Fri Mar 13 17:37:24 PDT 2020,1584146244
SONOMA,483878,2,2,Fri Mar 13 17:37:24 PDT 2020,1584146244
SACRAMENTO,1418788,16,16,Fri Mar 13 17:37:24 PDT 2020,1584146244
SOLANO,413344,12,12,Fri Mar 13 17:37:24 PDT 2020,1584146244
NAPA,136484,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
HUMBOLDT,134623,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
ALAMEDA,1510271,29,29,Fri Mar 13 17:37:24 PDT 2020,1584146244
PLACER,348432,8,8,Fri Mar 13 17:37:24 PDT 2020,1584146244
SAN MATEO,718451,20,20,Fri Mar 13 17:37:24 PDT 2020,1584146244
CONTRA COSTA,1049025,25,25,Fri Mar 13 17:37:24 PDT 2020,1584146244
YOLO,200849,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
MADERA,150865,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
SANTA CRUZ,262382,2,2,Fri Mar 13 17:37:24 PDT 2020,1584146244
FRESNO,930450,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
RIVERSIDE,2189641,6,6,Fri Mar 13 17:37:24 PDT 2020,1584146244
SHASTA,177223,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
VENTURA,823318,2,2,Fri Mar 13 17:37:24 PDT 2020,1584146244
LAKE,703462,2,2,Fri Mar 13 17:37:24 PDT 2020,1584146244
STANISLAUS,514453,2,2,Fri Mar 13 17:37:24 PDT 2020,1584146244
ORANGE,372813,3,3,Fri Mar 13 17:37:24 PDT 2020,1584146244
TULARE,442179,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
DUVAL,864263,1,1,Fri Mar 13 17:37:24 PDT 2020,1584146244
