COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,5,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
LOS ANGELES,9818605,20,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
SANTA CLARA,1781642,45,1,Wed Mar 11 08:55:01 PDT 2020,1583942101
SAN FRANCISCO,805235,17,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
SAN DIEGO,3095313,2,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
MARIN,252409,2,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
SONOMA,483878,2,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
SACRAMENTO,1418788,9,1,Wed Mar 11 08:55:01 PDT 2020,1583942101
SOLANO,413344,12,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
NAPA,136484,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
HUMBOLDT,134623,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
ALAMEDA,1510271,25,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
PLACER,348432,7,1,Wed Mar 11 08:55:01 PDT 2020,1583942101
SAN MATEO,718451,9,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
CONTRA COSTA,1049025,9,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
KINGS,2504700,4,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
YOLO,200849,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
MADERA,150865,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
SANTA CRUZ,262382,2,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
FRESNO,930450,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
RIVERSIDE,2189641,4,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
SHASTA,177223,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
VENTURA,823318,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
CHARLES MIX,9129,1,0,Wed Mar 11 08:55:01 PDT 2020,1583942101
