COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,5,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
LOS ANGELES,9818605,27,1,Wed Mar 11 17:03:42 PDT 2020,1583971422
SANTA CLARA,1781642,45,1,Wed Mar 11 17:03:42 PDT 2020,1583971422
SAN FRANCISCO,805235,17,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
SAN DIEGO,3095313,2,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
MARIN,252409,2,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
SONOMA,483878,2,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
SACRAMENTO,1418788,9,1,Wed Mar 11 17:03:42 PDT 2020,1583971422
SOLANO,413344,12,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
NAPA,136484,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
HUMBOLDT,134623,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
ALAMEDA,1510271,25,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
PLACER,348432,7,1,Wed Mar 11 17:03:42 PDT 2020,1583971422
SAN MATEO,718451,15,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
CONTRA COSTA,1049025,9,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
YOLO,200849,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
MADERA,150865,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
SANTA CRUZ,262382,2,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
FRESNO,930450,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
RIVERSIDE,2189641,4,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
SHASTA,177223,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
VENTURA,823318,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
CHARLES MIX,9129,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
LAKE,703462,1,0,Wed Mar 11 17:03:42 PDT 2020,1583971422
