COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,5,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
LOS ANGELES,9818605,27,1,Wed Mar 11 17:32:56 PDT 2020,1583973176
SANTA CLARA,1781642,45,1,Wed Mar 11 17:32:56 PDT 2020,1583973176
SAN FRANCISCO,805235,17,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
SAN DIEGO,3095313,2,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
MARIN,252409,2,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
SONOMA,483878,2,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
SACRAMENTO,1418788,9,1,Wed Mar 11 17:32:56 PDT 2020,1583973176
SOLANO,413344,12,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
NAPA,136484,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
HUMBOLDT,134623,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
ALAMEDA,1510271,25,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
PLACER,348432,7,1,Wed Mar 11 17:32:56 PDT 2020,1583973176
SAN MATEO,718451,15,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
CONTRA COSTA,1049025,9,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
YOLO,200849,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
MADERA,150865,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
SANTA CRUZ,262382,2,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
FRESNO,930450,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
RIVERSIDE,2189641,4,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
SHASTA,177223,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
VENTURA,823318,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
CHARLES MIX,9129,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
LAKE,703462,1,0,Wed Mar 11 17:32:56 PDT 2020,1583973176
