COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Thu Mar  5 19:42:23 PST 2020,1583466143
LOS ANGELES,9818605,7,0,Thu Mar  5 19:42:23 PST 2020,1583466143
SANTA CLARA,1781642,14,0,Thu Mar  5 19:42:23 PST 2020,1583466143
SAN FRANCISCO,805235,3,0,Thu Mar  5 19:42:23 PST 2020,1583466143
SAN DIEGO,3095313,1,0,Thu Mar  5 19:42:23 PST 2020,1583466143
MARIN,252409,1,0,Thu Mar  5 19:42:23 PST 2020,1583466143
SONOMA,483878,2,0,Thu Mar  5 19:42:23 PST 2020,1583466143
SOLANO,413344,13,0,Thu Mar  5 19:42:23 PST 2020,1583466143
NAPA,136484,1,0,Thu Mar  5 19:42:23 PST 2020,1583466143
HUMBOLDT,134623,1,0,Thu Mar  5 19:42:23 PST 2020,1583466143
SACRAMENTO,1418788,2,0,Thu Mar  5 19:42:23 PST 2020,1583466143
ALAMEDA,1510271,2,0,Thu Mar  5 19:42:23 PST 2020,1583466143
WALLA WALLA,58781,1,0,Thu Mar  5 19:42:23 PST 2020,1583466143
PLACER,348432,2,1,Thu Mar  5 19:42:23 PST 2020,1583466143
SAN MATEO,718451,1,0,Thu Mar  5 19:42:23 PST 2020,1583466143
CONTRA COSTA,1049025,1,0,Thu Mar  5 19:42:23 PST 2020,1583466143
