date2,unixtime,adm0_a3,lat,lon,jhu_country_region,jhu_state_province,nyt_name,asia_map_label,asia_map_label_desktop_only,confirmed,deaths,recovered
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,32,116.1,China,Anhui,,,,990,6,984
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,39.9,116.3,China,Beijing,,count_only,,446,8,358
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,29.5,106.4,China,Chongqing,,,,576,6,570
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,25.92,117.17,China,Fujian,,,,296,1,295
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,40.39,96.81,China,Gansu,,,,133,2,91
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,22.9,112.4,China,Guangdong,,,,1361,8,1306
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,23.72,108.66,China,Guangxi,,,,252,2,247
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,26.91,105.48,China,Guizhou,,,,146,2,143
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,19.15,109.37,China,Hainan,,,,168,6,160
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,38.48,115.24,China,Hebei,,,,318,6,310
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,46.8,127.07,China,Heilongjiang,,,,482,13,454
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,33.9,112.4,China,Henan,,,,1273,22,1250
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,32.05,110.5,China,Hubei,,count_only,,67798,3099,55094
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,27.4,110.4,China,Hunan,,,,1018,4,1014
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,43.61,113.35,China,Inner Mongolia,,,,75,1,71
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,33.15,119.58,China,Jiangsu,,,,631,0,631
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,27.28,114.91,China,Jiangxi,,,,935,1,934
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,43.85,126.5,China,Jilin,,,,93,1,92
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,41.3,121.9,China,Liaoning,,,,125,1,114
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,37.3,104.85,China,Ningxia,,,,75,0,73
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,35.39,93.99,China,Qinghai,,,,18,0,18
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,35.63,106.12,China,Shaanxi,,,,245,2,232
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,36.4,116.5,China,Shandong,,,,760,7,743
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,31.19,121.48,China,Shanghai,,,,355,3,324
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,37.64,110.15,China,Shanxi,,,,133,0,133
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,30.8,103.8,China,Sichuan,,,,539,3,516
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,39.13,117.01,China,Tianjin,,,,136,3,133
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,31.6,84.27,China,Tibet,,,,1,0,1
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,40.06,87.7,China,Xinjiang,,,,76,3,73
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,24.64,101.29,China,Yunnan,,,,175,2,172
Mon Mar 16 08:41:28 PDT 2020,1584373288,CHN,29.1,120.1,China,Zhejiang,,,,1231,1,1213
Mon Mar 16 08:41:28 PDT 2020,1584373288,AUS,-32.74,145.56,Australia,New South Wales,,,,134,2,4
Mon Mar 16 08:41:28 PDT 2020,1584373288,AUS,-20.9176,142.7028,Australia,Queensland,,,,61,0,8
Mon Mar 16 08:41:28 PDT 2020,1584373288,AUS,-34.93,138.61,Australia,South Australia,,,,20,0,3
Mon Mar 16 08:41:28 PDT 2020,1584373288,AUS,-36.56,143.25,Australia,Victoria,,,,57,0,8
Mon Mar 16 08:41:28 PDT 2020,1584373288,AUS,-36.56,143.25,Australia,From Diamond Princess,,,,0,0,0
Mon Mar 16 08:41:28 PDT 2020,1584373288,AUS,-36.56,143.25,Australia,Western Australia,,,,17,1,0
Mon Mar 16 08:41:28 PDT 2020,1584373288,CAN,54.84,-125.1,Canada,British Columbia,,,,73,1,4
Mon Mar 16 08:41:28 PDT 2020,1584373288,CAN,51.4,-87.12,Canada,"London, ON",,,,0,0,0
Mon Mar 16 08:41:28 PDT 2020,1584373288,CAN,51.4,-87.12,Canada,Ontario,,,,145,0,5
Mon Mar 16 08:41:28 PDT 2020,1584373288,CAN,51.4,-87.12,Canada,"Toronto, ON",,,,0,0,0
Mon Mar 16 08:41:28 PDT 2020,1584373288,CAN,51.4,-87.12,Canada,"Montreal, QC",,,,0,0,0
