date2,unixtime,county,state,postal,lat,lon,county_full,countytext,population_2010,countyfips,county_id,active,confirmed,deaths
Fri Mar  6 17:53:43 PST 2020,1583546023,Snohomish,Washington,WA,48.054913,-121.766412,Snohomish County,WA SNOHOMISH,713335,53061,61,True,18,1
Fri Mar  6 17:53:43 PST 2020,1583546023,Cook,Illinois,IL,41.894294,-87.645455,Cook County,IL COOK,5194675,17031,31,True,5,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Orange,California,CA,33.675687,-117.777207,Orange County,CA ORANGE,3010232,6059,59,True,3,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Los Angeles,California,CA,34.196398,-118.261862,Los Angeles County,CA LOS ANGELES,9818605,6037,37,True,13,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Maricopa,Arizona,AZ,33.346541,-112.495534,Maricopa County,AZ MARICOPA,3817117,4013,13,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Santa Clara,California,CA,37.220777,-121.690622,Santa Clara County,CA SANTA CLARA,1781642,6085,85,True,24,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Suffolk,Massachusetts,MA,42.33196,-71.020173,Suffolk County,MA SUFFOLK,722023,25025,25,True,4,0
Fri Mar  6 17:53:43 PST 2020,1583546023,San Francisco,California,CA,37.765064,-122.443535,San Francisco County,CA SAN FRANCISCO,805235,6075,75,True,5,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Dane,Wisconsin,WI,43.067468,-89.417852,Dane County,WI DANE,488073,55025,25,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,San Diego,California,CA,33.023604,-116.776117,San Diego County,CA SAN DIEGO,3095313,6073,73,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Bexar,Texas,TX,29.448671,-98.520147,Bexar County,TX BEXAR,1714773,48029,29,True,11,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Douglas,Nebraska,NE,41.297091,-96.154066,Douglas County,NE DOUGLAS,517110,31055,55,True,14,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Marin,California,CA,38.051817,-122.745974,Marin County,CA MARIN,252409,6041,41,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Sonoma,California,CA,38.532574,-122.945194,Sonoma County,CA SONOMA,483878,6097,97,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Solano,California,CA,38.267226,-121.939594,Solano County,CA SOLANO,413344,6095,95,True,13,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Napa,California,CA,38.507351,-122.325995,Napa County,CA NAPA,136484,6055,55,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Humboldt,California,CA,40.706673,-123.925818,Humboldt County,CA HUMBOLDT,134623,6023,23,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Sacramento,California,CA,38.450011,-121.340441,Sacramento County,CA SACRAMENTO,1418788,6067,67,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Spokane,Washington,WA,47.620379,-117.404392,Spokane County,WA SPOKANE,471221,53063,63,True,4,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Salt Lake,Utah,UT,40.667882,-111.924244,Salt Lake County,UT SALT LAKE,1029655,49035,35,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Washington,Oregon,OR,45.553542,-123.097615,Washington County,OR WASHINGTON,529710,41067,67,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,King,Washington,WA,47.493554,-121.832375,King County,WA KING,1931249,53033,33,True,59,12
Fri Mar  6 17:53:43 PST 2020,1583546023,Unknown,Rhode Island,RI,,,,,,,,True,3,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Alameda,California,CA,37.648081,-121.913304,Alameda County,CA ALAMEDA,1510271,6001,1,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,New York,New York,NY,40.776557,-73.970174,New York County,NY NEW YORK,1585873,36061,61,True,4,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Manatee,Florida,FL,27.481386,-82.365783,Manatee County,FL MANATEE,322833,12081,81,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Hillsborough,Florida,FL,27.90659,-82.349568,Hillsborough County,FL HILLSBOROUGH,1229226,12057,57,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Walla Walla,Washington,WA,46.254606,-118.480374,Walla Walla County,WA WALLA WALLA,58781,53071,71,True,1,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Grafton,New Hampshire,NH,43.926488,-71.842264,Grafton County,NH GRAFTON,89118,33009,9,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Placer,California,CA,39.062032,-120.722718,Placer County,CA PLACER,348432,6061,61,True,5,1
Fri Mar  6 17:53:43 PST 2020,1583546023,Norfolk,Massachusetts,MA,42.169702,-71.179875,Norfolk County,MA NORFOLK,670850,25021,21,True,3,0
Fri Mar  6 17:53:43 PST 2020,1583546023,Fulton,Georgia,GA,33.790034,-84.468182,Fulton County,GA FULTON,920581,13121,121,True,2,0
Fri Mar  6 17:53:43 PST 2020,1583546023,San Mateo,California,CA,37.414664,-122.371542,San Mateo County,CA SAN MATEO,718451,6081,81,True,1,0
