NAME,POPESTIMATE2019,Confirmed Cases,Deaths,date2,unixtime
Arizona,7278717,2,0,Wed Mar  4 12:56:45 PST 2020,1583355405
California,39512223,51,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Florida,21477737,3,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Georgia,10617423,2,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Illinois,12671821,4,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Massachusetts,6892503,2,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Nebraska,1934408,13,0,Wed Mar  4 12:56:45 PST 2020,1583355405
New Hampshire,1359711,2,0,Wed Mar  4 12:56:45 PST 2020,1583355405
New York,19453561,6,0,Wed Mar  4 12:56:45 PST 2020,1583355405
North Carolina,10488084,1,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Oregon,4217737,2,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Rhode Island,1059361,2,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Texas,28995881,11,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Utah,3205958,1,0,Wed Mar  4 12:56:45 PST 2020,1583355405
Washington,7614893,32,9,Wed Mar  4 12:56:45 PST 2020,1583355405
Wisconsin,5822434,1,0,Wed Mar  4 12:56:45 PST 2020,1583355405
