NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,5,0,AZ,94,Sun Mar  8 16:23:01 PDT 2020,1583709781
California,39512223,109,1,CA,383,Sun Mar  8 16:23:01 PDT 2020,1583709781
Colorado,5758736,8,0,CO,91,Sun Mar  8 16:23:01 PDT 2020,1583709781
Connecticut,3565287,1,0,CT,37,Sun Mar  8 16:23:01 PDT 2020,1583709781
Florida,21477737,13,2,FL,211,Sun Mar  8 16:23:01 PDT 2020,1583709781
Georgia,10617423,7,0,GA,147,Sun Mar  8 16:23:01 PDT 2020,1583709781
Hawaii,1415872,1,0,HI,25,Sun Mar  8 16:23:01 PDT 2020,1583709781
Illinois,12671821,7,0,IL,194,Sun Mar  8 16:23:01 PDT 2020,1583709781
Indiana,6732219,2,0,IN,147,Sun Mar  8 16:23:01 PDT 2020,1583709781
Iowa,3155070,3,0,IA,118,Sun Mar  8 16:23:01 PDT 2020,1583709781
Kansas,2913314,1,0,KS,139,Sun Mar  8 16:23:01 PDT 2020,1583709781
Kentucky,4467673,4,0,KY,102,Sun Mar  8 16:23:01 PDT 2020,1583709781
Maryland,6045680,5,0,MD,56,Sun Mar  8 16:23:01 PDT 2020,1583709781
Massachusetts,6892503,28,0,MA,78,Sun Mar  8 16:23:01 PDT 2020,1583709781
Minnesota,5639632,1,0,MN,138,Sun Mar  8 16:23:01 PDT 2020,1583709781
Missouri,6137428,1,0,MO,123,Sun Mar  8 16:23:01 PDT 2020,1583709781
Nebraska,1934408,16,0,NE,91,Sun Mar  8 16:23:01 PDT 2020,1583709781
Nevada,3080156,4,0,NV,45,Sun Mar  8 16:23:01 PDT 2020,1583709781
New Hampshire,1359711,4,0,NH,28,Sun Mar  8 16:23:01 PDT 2020,1583709781
New Jersey,8882190,6,0,NJ,80,Sun Mar  8 16:23:01 PDT 2020,1583709781
New York,19453561,106,0,NY,194,Sun Mar  8 16:23:01 PDT 2020,1583709781
North Carolina,10488084,2,0,NC,120,Sun Mar  8 16:23:01 PDT 2020,1583709781
Oklahoma,3956971,1,0,OK,130,Sun Mar  8 16:23:01 PDT 2020,1583709781
Oregon,4217737,13,0,OR,62,Sun Mar  8 16:23:01 PDT 2020,1583709781
Pennsylvania,12801989,6,0,PA,190,Sun Mar  8 16:23:01 PDT 2020,1583709781
Rhode Island,1059361,3,0,RI,12,Sun Mar  8 16:23:01 PDT 2020,1583709781
South Carolina,5148714,6,0,SC,67,Sun Mar  8 16:23:01 PDT 2020,1583709781
Tennessee,6829174,3,0,TN,118,Sun Mar  8 16:23:01 PDT 2020,1583709781
Texas,28995881,22,0,TX,457,Sun Mar  8 16:23:01 PDT 2020,1583709781
Utah,3205958,2,0,UT,52,Sun Mar  8 16:23:01 PDT 2020,1583709781
Vermont,623989,1,0,VT,16,Sun Mar  8 16:23:01 PDT 2020,1583709781
Virginia,8535519,2,0,VA,95,Sun Mar  8 16:23:01 PDT 2020,1583709781
Washington,7614893,141,18,WA,101,Sun Mar  8 16:23:01 PDT 2020,1583709781
Wisconsin,5822434,1,0,WI,136,Sun Mar  8 16:23:01 PDT 2020,1583709781
