NAME,POPESTIMATE2019,Confirmed Cases,Deaths,Postal,Hospital Count,date2,unixtime
Arizona,7278717,2,0,AZ,94,Thu Mar  5 20:34:03 PST 2020,1583469243
California,39512223,60,1,CA,383,Thu Mar  5 20:34:03 PST 2020,1583469243
Florida,21477737,4,0,FL,211,Thu Mar  5 20:34:03 PST 2020,1583469243
Illinois,12671821,5,0,IL,194,Thu Mar  5 20:34:03 PST 2020,1583469243
Maryland,6045680,3,0,MD,56,Thu Mar  5 20:34:03 PST 2020,1583469243
Massachusetts,6892503,2,0,MA,78,Thu Mar  5 20:34:03 PST 2020,1583469243
Nebraska,1934408,13,0,NE,91,Thu Mar  5 20:34:03 PST 2020,1583469243
New York,19453561,22,0,NY,194,Thu Mar  5 20:34:03 PST 2020,1583469243
Texas,28995881,14,0,TX,457,Thu Mar  5 20:34:03 PST 2020,1583469243
Washington,7614893,75,13,WA,101,Thu Mar  5 20:34:03 PST 2020,1583469243
