china,location,Cases,Deaths,Notes,date2,unixtime
inside,Hubei province (includes Wuhan),66337,2727,"7,370 serious",Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,Guangdong province,1349,7,"18 serious, 20 critical",Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,Henan province,1272,21,"7 serious, 6 critical",Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,Zhejiang province,1205,1,"10 serious, 9 critical",Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,Hunan province,1018,4,19 serious,Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,Beijing,411,8,,Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,Shanghai,337,3,10 serious,Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,Other regions,7322,64,,Sat Feb 29 12:26:28 UTC 2020,1582979187
inside,TOTAL,79251,2835,"7,664 serious39,002 recovered1,418 suspected",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,South Korea,3150,17,"10 critical, 24 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Italy,889,21,"64 serious, 46 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Diamond Princess,705,6,"36 serious, 10 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Iran,593,43,123 recovered,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Japan,241*,5,"20 serious, 32 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Singapore,102,0,"7 critical, 72 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Hong Kong,93,2,"4 critical, 2 serious, 18 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Germany,79,0,"2 critical, 16 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,United States,66,0,"1 serious, 7 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,France,57,2,"1 serious, 11 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Spain,45,0,"1 serious, 2 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Kuwait,45,0,,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Thailand,42,0,"2 critical, 28 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Taiwan,39,1,5 recovered,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Bahrain,38,0,,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Malaysia,25,0,17 recovered,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Australia,25,0,15 recovered,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,United Kingdom,20,0,8 recovered,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,UAE,19,0,"2 serious, 5 recovered",Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Vietnam,16,0,16 recovered,Sat Feb 29 12:26:28 UTC 2020,1582979187
outside,Canada,16,0,3 recovered,Sat Feb 29 12:26:28 UTC 2020,1582979187
